username,gender,state,user_agent_string,variation
flynnkevin,F,OH,"Opera/8.85.(Windows 98; zh-SG) Presto/2.9.172 Version/11.00",control
hubbardkendra,M,HI,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_7; rv:1.9.3.20) Gecko/2014-05-20 02:16:14 Firefox/3.6.17",variation
kimberly29,F,ID,"Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/2011-03-27 06:23:05 Firefox/12.0",control
allenrebecca,F,MN,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/5331 (KHTML, like Gecko) Chrome/48.0.861.0 Safari/5331",control
jacquelinecurry,F,ME,"Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.2; Trident/5.1)",control
mgomez,M,NJ,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_7 rv:5.0; dv-MV) AppleWebKit/533.39.6 (KHTML, like Gecko) Version/5.0.4 Safari/533.39.6",control
dmoore,F,OK,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_5_7) AppleWebKit/5312 (KHTML, like Gecko) Chrome/51.0.878.0 Safari/5312",variation
elizabethmorrison,F,PA,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5311 (KHTML, like Gecko) Chrome/23.0.805.0 Safari/5311",control
warren91,F,VT,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/531.23.1 (KHTML, like Gecko) Version/4.0.4 Safari/531.23.1",variation
villarrealshelby,F,IL,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/532.20.4 (KHTML, like Gecko) Version/4.1 Safari/532.20.4",variation
karenphillips,M,NM,"Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/4.0)",variation
jessicanguyen,M,NE,"Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2016-05-05 18:21:40 Firefox/12.0",control
jenniferpage,F,WV,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_6 rv:5.0; da-DK) AppleWebKit/532.1.7 (KHTML, like Gecko) Version/4.0.5 Safari/532.1.7",control
justin38,F,SD,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5312 (KHTML, like Gecko) Chrome/42.0.859.0 Safari/5312",variation
lambertanthony,M,WV,"Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/5.0)",control
sotokatrina,M,NV,"Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/3.1)",control
elevine,M,TN,"Opera/8.89.(X11; Linux x86_64; uk-UA) Presto/2.9.188 Version/11.00",control
leonardshari,F,MD,"Opera/8.28.(X11; Linux x86_64; pap-AN) Presto/2.9.165 Version/12.00",variation
danabrock,F,DC,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_0 like Mac OS X; ber-MA) AppleWebKit/535.18.4 (KHTML, like Gecko) Version/4.0.5 Mobile/8B116 Safari/6535.18.4",control
brent23,M,MO,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5360 (KHTML, like Gecko) Chrome/36.0.823.0 Safari/5360",variation
dharris,F,FL,"Mozilla/5.0 (Windows; U; Windows NT 5.1) AppleWebKit/533.46.1 (KHTML, like Gecko) Version/4.0 Safari/533.46.1",control
dana78,M,MN,"Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/5.1)",control
ehendrix,F,AZ,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/5361 (KHTML, like Gecko) Chrome/17.0.865.0 Safari/5361",control
roberta53,M,WA,"Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.1)",control
watkinsdebra,M,MO,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_5; rv:1.9.6.20) Gecko/2010-02-22 21:48:37 Firefox/3.8",variation
mhodges,F,DC,"Opera/9.51.(X11; Linux i686; nr-ZA) Presto/2.9.177 Version/11.00",control
shafferchristine,M,CO,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_3; rv:1.9.5.20) Gecko/2015-12-12 05:49:54 Firefox/3.8",variation
stewartrachel,M,MS,"Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/5.0)",control
lauren81,M,MI,"Opera/8.63.(Windows 98; Win 9x 4.90; ff-SN) Presto/2.9.181 Version/11.00",variation
jasminehenderson,F,OK,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/531.21.2 (KHTML, like Gecko) Version/4.1 Safari/531.21.2",variation
ujenkins,M,AK,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_1 rv:4.0; the-NP) AppleWebKit/532.26.7 (KHTML, like Gecko) Version/4.0.4 Safari/532.26.7",control
williamwhite,F,CO,"Mozilla/5.0 (Windows CE) AppleWebKit/5321 (KHTML, like Gecko) Chrome/45.0.832.0 Safari/5321",control
michaelferguson,F,FL,"Mozilla/5.0 (compatible; MSIE 5.0; Windows 95; Trident/4.0)",variation
keith53,F,WA,"Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/4.0)",control
nicoledurham,M,NC,"Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Trident/4.0)",control
mooresara,F,LA,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5361 (KHTML, like Gecko) Chrome/59.0.839.0 Safari/5361",variation
bennettamanda,F,NV,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5321 (KHTML, like Gecko) Chrome/52.0.831.0 Safari/5321",control
tnichols,F,NC,"Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/3.1)",control
sheltonanthony,M,VT,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_4; rv:1.9.3.20) Gecko/2010-07-16 21:56:34 Firefox/3.6.15",variation
kingchristina,M,RI,"Mozilla/5.0 (Windows; U; Windows NT 6.0) AppleWebKit/534.27.5 (KHTML, like Gecko) Version/5.0 Safari/534.27.5",variation
zaustin,F,MS,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_8; rv:1.9.5.20) Gecko/2011-09-24 12:03:30 Firefox/3.8",control
samuel36,F,HI,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4 rv:6.0; sv-FI) AppleWebKit/532.45.3 (KHTML, like Gecko) Version/5.0 Safari/532.45.3",variation
jcollins,F,NJ,"Mozilla/5.0 (Windows NT 6.0; the-NP; rv:1.9.2.20) Gecko/2018-03-06 11:30:19 Firefox/3.6.14",variation
juliesellers,F,IN,"Opera/9.64.(Windows CE; fil-PH) Presto/2.9.161 Version/10.00",control
wnewman,F,WA,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_7; rv:1.9.3.20) Gecko/2016-11-10 19:04:34 Firefox/7.0",variation
lauradavis,F,OR,"Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/2011-07-21 04:36:20 Firefox/3.8",control
davidgonzales,F,ND,"Opera/8.38.(Windows NT 5.1; lo-LA) Presto/2.9.180 Version/11.00",control
elizabethfrench,F,VT,"Opera/9.97.(Windows NT 5.1; wa-BE) Presto/2.9.184 Version/10.00",control
zsmith,F,KS,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_12_8) AppleWebKit/5360 (KHTML, like Gecko) Chrome/25.0.856.0 Safari/5360",control
caitlinsmith,F,SC,"Opera/9.71.(Windows 95; nso-ZA) Presto/2.9.184 Version/12.00",control
martinezcraig,F,AR,"Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.0; Trident/5.0)",variation
sabrina43,M,WI,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_2 rv:3.0; es-PE) AppleWebKit/534.33.1 (KHTML, like Gecko) Version/4.0.5 Safari/534.33.1",control
wjones,M,SD,"Opera/9.53.(X11; Linux i686; mr-IN) Presto/2.9.187 Version/11.00",variation
avilajoanna,F,MO,"Opera/9.54.(Windows 95; az-IN) Presto/2.9.176 Version/12.00",control
joseph10,M,MA,"Mozilla/5.0 (compatible; MSIE 7.0; Windows 98; Win 9x 4.90; Trident/3.0)",control
harrellveronica,M,OK,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_8) AppleWebKit/5350 (KHTML, like Gecko) Chrome/19.0.838.0 Safari/5350",variation
andreabuck,F,VA,"Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2016-05-27 21:55:40 Firefox/11.0",control
nschmidt,F,CA,"Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.0; Trident/4.0)",variation
nholt,M,AL,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_11_9; rv:1.9.2.20) Gecko/2017-08-02 17:42:19 Firefox/5.0",variation
johnsonmolly,M,ID,"Mozilla/5.0 (Windows 98; pl-PL; rv:1.9.0.20) Gecko/2011-03-20 11:18:07 Firefox/3.8",variation
greenwendy,M,AZ,"Mozilla/5.0 (Windows NT 6.0; ur-PK; rv:1.9.1.20) Gecko/2017-08-27 13:57:50 Firefox/3.8",control
alecsherman,F,TN,"Opera/8.65.(X11; Linux x86_64; ku-TR) Presto/2.9.165 Version/10.00",variation
eflynn,M,RI,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.2; Trident/3.1)",control
nhall,M,WV,"Opera/9.26.(Windows 98; th-TH) Presto/2.9.178 Version/11.00",control
donald80,M,NM,"Opera/8.13.(X11; Linux x86_64; doi-IN) Presto/2.9.183 Version/11.00",variation
bushdeanna,M,FL,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/5322 (KHTML, like Gecko) Chrome/37.0.898.0 Safari/5322",control
zoeflores,M,AR,"Mozilla/5.0 (Windows NT 5.01) AppleWebKit/5312 (KHTML, like Gecko) Chrome/55.0.876.0 Safari/5312",variation
eric99,M,MT,"Opera/9.39.(Windows NT 6.1; hne-IN) Presto/2.9.188 Version/10.00",variation
youngjack,M,AL,"Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/3.0)",variation
ellisgregory,M,ME,"Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/3.0)",control
brian10,M,UT,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_5_4; rv:1.9.3.20) Gecko/2015-12-09 05:33:27 Firefox/8.0",variation
acostacandace,F,MS,"Opera/9.90.(X11; Linux x86_64; sr-RS) Presto/2.9.183 Version/11.00",variation
walkerandrew,F,GA,"Opera/9.34.(Windows NT 5.1; gl-ES) Presto/2.9.162 Version/10.00",variation
kellyjeremy,F,AZ,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/5321 (KHTML, like Gecko) Chrome/38.0.824.0 Safari/5321",control
taragrimes,F,VA,"Opera/9.43.(X11; Linux i686; ca-IT) Presto/2.9.186 Version/12.00",control
tfernandez,M,NV,"Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/5.1)",variation
garyhudson,F,AL,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_7) AppleWebKit/5350 (KHTML, like Gecko) Chrome/35.0.806.0 Safari/5350",variation
